,dateRep,day,month,year,cases,deaths,country,continent
17007,2020-01-09,1,9,2020,0.0,0.0,Liechtenstein,Europe
15083,2020-01-09,1,9,2020,975.0,8.0,Italy,Europe
21876,2020-01-09,1,9,2020,115.0,0.0,Norway,Europe
7355,2020-01-10,1,10,2020,57.0,1.0,Estonia,Europe
10357,2020-01-10,1,10,2020,2928.0,26.0,Germany,Europe
18941,2020-01-10,1,10,2020,123.0,0.0,Luxembourg,Europe
4460,2020-01-10,1,10,2020,17.0,0.0,Cyprus,Europe
11348,2020-01-10,1,10,2020,411.0,0.0,Greece,Europe
14085,2020-01-10,1,10,2020,442.0,2.0,Ireland,Europe
5421,2020-01-10,1,10,2020,3503.0,29.0,Czechia,Europe
752,2020-01-10,1,10,2020,790.0,8.0,Austria,Europe
20876,2020-01-10,1,10,2020,3253.0,13.0,Netherlands,Europe
3654,2020-01-10,1,10,2020,234.0,4.0,Croatia,Europe
6383,2020-01-10,1,10,2020,398.0,2.0,Denmark,Europe
16028,2020-01-10,1,10,2020,44.0,0.0,Latvia,Europe
9351,2020-01-10,1,10,2020,13970.0,63.0,France,Europe
12322,2020-01-10,1,10,2020,848.0,16.0,Hungary,Europe
16977,2020-01-10,1,10,2020,1.0,0.0,Liechtenstein,Europe
1724,2020-01-10,1,10,2020,3423.0,15.0,Belgium,Europe
15053,2020-01-10,1,10,2020,2548.0,24.0,Italy,Europe
24695,2020-01-10,1,10,2020,2086.0,37.0,Romania,Europe
28488,2020-01-10,1,10,2020,633.0,1.0,Sweden,Europe
23754,2020-01-10,1,10,2020,787.0,6.0,Portugal,Europe
2692,2020-01-10,1,10,2020,263.0,12.0,Bulgaria,Europe
21846,2020-01-10,1,10,2020,131.0,0.0,Norway,Europe
22827,2020-01-10,1,10,2020,1967.0,30.0,Poland,Europe
26604,2020-01-10,1,10,2020,239.0,2.0,Slovenia,Europe
17945,2020-01-10,1,10,2020,133.0,1.0,Lithuania,Europe
19916,2020-01-10,1,10,2020,37.0,1.0,Malta,Europe
